failures_per_year,avg_downtime_hours,cost_per_hour,recovery_efficiency,total_downtime_hours,adjusted_downtime,annual_downtime_cost,opportunity_cost,total_annual_impact
2,13.132507193920874,10017.259534364493,0.5417608494431008,26.26501438784175,48.48082768409841,485645.0333524169,48387.41749860913,534032.450851026
5,14.253028177489448,11660.938694702994,0.7439903386827524,71.26514088744725,95.78772355246359,1116974.7720504361,70670.10483445856,1187644.8768848947
5,2.941805497259725,8332.380045350765,0.8692457328387618,14.709027486298625,16.92159872705068,140997.19156870997,45197.15399490839,186194.34556361835
2,11.623828188734802,9412.74816289841,0.4766806672148024,23.247656377469603,48.769874627606235,459058.54780578637,67276.28912994014,526334.8369357265
3,12.747606781604707,12604.572706346047,0.8006876680056593,38.24282034481412,47.762469528310284,602025.5198042246,48962.418698361005,650987.9385025856
2,4.589147112085108,10391.864714294708,0.6360289808754159,9.178294224170216,14.43062266052314,149961.07843119203,61677.79748034389,211638.87591153593
4,17.069999007771678,11575.339784277092,0.9486405688780799,68.27999603108671,71.97667722753918,833154.4954520053,17178.25166577565,850332.747117781
4,10.71880615732992,7776.267805376687,0.9286428754529138,42.87522462931968,46.1697664006831,359028.46804339427,43963.770271022644,402992.2383144169
4,4.285514307224875,7660.245714053177,0.6894497091068584,17.1420572288995,24.863390327781886,190459.67919522242,78728.17028263213,269187.84947785456
2,13.745334253101563,9731.767180237439,0.9741285906981727,27.490668506203125,28.220779852586144,274638.0591701038,53775.53312651013,328413.59229661396
3,13.399083989842797,10356.555666047394,0.8465160081266678,40.197251969528395,47.48551897853007,491786.42063229665,49942.87191568812,541729.2925479847
2,2.930063679521718,8405.67670623721,0.7058949331146384,5.860127359043436,8.301699139823324,69781.39908180239,43241.780522305125,113023.17960410751
3,3.05445435715603,10571.217184119305,0.7524762479445104,9.16336307146809,12.177611049516903,128732.17118817421,29385.80608338238,158117.9772715566
4,20.23454528927382,8272.215164376768,0.8964681139310454,80.93818115709529,90.28562187469045,746862.0903970012,72703.64494758935,819565.7353445906
3,8.916712456060505,7844.7128709439985,0.7904475709999631,26.750137368181516,33.84176047797959,265478.8939970104,47840.47455657128,313319.3685535817
4,5.5175598787187425,6343.29036168339,0.7923955282720061,22.07023951487497,27.852554346191244,176676.83953245773,58575.048761022124,235251.88829347986
4,2.7900586002989596,13827.935127245739,0.7034798291586242,11.160234401195838,15.86432750252939,219370.8915423568,52464.74193466054,271835.63347701734
1,5.1899563796254276,10711.54369745047,0.9025372598245689,5.1899563796254276,5.7504067816925675,61595.733520215465,75840.23264618212,137435.9661663976
3,8.177799889939818,8173.174073219588,0.7823680752783725,24.533399669819453,31.357874183567986,256293.3642684197,56351.73092103614,312645.09518945584
2,4.2770712587184345,10827.59334693334,0.6670974852254837,8.554142517436869,12.822927243602946,138841.4417110455,30777.347084765184,169618.7887958107
3,3.559776515730259,10539.227330555479,0.6667452621411384,10.679329547190777,16.017106012716066,168807.92144562167,71245.48576579601,240053.40721141768
3,4.546643313782051,6993.407931058855,0.7603510910652614,13.639929941346153,17.93898910861881,125454.6687073932,34283.330682837026,159737.99939023022
4,16.270895835184156,13648.825948488378,0.8289526717374097,65.08358334073662,78.51302681047801,1071610.637625216,56782.54326636171,1128393.1808915779
1,12.078256287388818,12036.33366615605,0.8106968393177313,12.078256287388818,14.898610308575613,179324.64483604822,65936.07227449193,245260.71711054014
5,9.603308715205527,8803.61479078888,0.7941268665733466,48.01654357602764,60.464575116591604,532306.8278151911,34843.980167607646,567150.8079827988
1,9.827692519052821,12006.883381476795,0.5070864475657253,9.827692519052821,19.380704347810475,232701.85695504065,44839.08838261162,277540.9453376523
5,6.028504385763852,11433.039865002345,0.8862981904026623,30.14252192881926,34.00945895548419,388831.5000252118,63821.50417570358,452653.00420091534
1,13.150871206187809,14105.619039920308,0.7184839074370831,13.150871206187809,18.303640582707715,258184.18110329998,64914.5079977484,323098.6891010484
3,2.525357318943392,8381.165435734156,0.7403473756156862,7.576071956830177,10.23313137367412,85765.5669683643,25225.321021416363,110990.88798978066
4,11.559729253723175,9385.404559458362,0.558491578725129,46.2389170148927,82.7925053416964,777041.1571229382,51384.10834490029,828425.2654678385
3,7.819426516022373,5943.457220392027,0.8835870738791841,23.458279548067118,26.548916616761925,157792.35015947954,49770.31032753024,207562.6604870098
3,17.741250668529425,7054.93875988648,0.8747175413463202,53.223752005588274,60.84678709388749,429270.3566832273,54282.85174497302,483553.20842820033
4,3.3834880332009183,6376.43015506166,0.8647825319926372,13.533952132803673,15.650122004220712,99791.90987810698,62290.18664758245,162082.0965256894
5,9.947504359336424,8759.43318884915,0.517488869967987,49.73752179668212,96.11322036695975,841897.3323695194,47883.02725199191,889780.3596215113
5,3.070928230977872,12032.06327883307,0.971074123146337,15.354641154889359,15.81201762965264,190251.19668600464,20952.188599540706,211203.38528554534
0,15.520645649679723,11622.396696150197,0.8731123081903485,0.0,0.0,0.0,52857.198892686225,52857.198892686225
3,7.590009881466425,9223.101536154063,0.7506465347706195,22.770029644399276,30.333890306117617,279772.5502798822,40008.532316475575,319781.0825963578
2,2.455841384116959,11914.647450976556,0.8748018688695283,4.911682768233918,5.61462308554632,66896.25463439859,30676.803355129105,97573.05798952769
2,9.097418513775834,11403.904031531116,0.944265165209751,18.194837027551667,19.268779255994286,219739.30944011637,58296.3841246244,278035.69356474077
0,3.7082353687293668,8618.305275726274,0.9142610653927217,0.0,0.0,0.0,60976.43651439172,60976.43651439172
2,17.076583066468356,12993.395172178574,0.7968063302156556,34.15316613293671,42.86256877965962,556930.2942488014,59728.11272746527,616658.4069762666
2,14.08928966518567,8424.558302332192,0.9259171007544988,28.17857933037134,30.433155740842842,256385.8948626862,58926.60268831375,315312.497551
0,8.090800454679734,11093.195669751858,0.9094246670751347,0.0,0.0,0.0,55805.081014863754,55805.081014863754
4,11.820437943330733,11816.5443965969,0.7945836192877075,47.28175177332293,59.505067340436675,703144.2700507583,39129.01768349873,742273.2877342569
2,9.139933863898335,10154.104952562493,0.9562622628502315,18.27986772779667,19.11595640437778,194105.42759866113,43080.752891223405,237186.18048988454
5,3.417636228683209,9101.829892931251,0.8728391243024716,17.088181143416044,19.577698418448012,178192.880699823,43027.85860967234,221220.73930949534
2,16.872446385755488,7412.675599550075,0.9261720801172555,33.744892771510976,36.434798128700656,270079.3390631521,55339.27081830045,325418.6098814525
5,5.501905254416714,7296.026215852449,0.6141287003199647,27.50952627208357,44.79439937874739,326821.11219070567,53999.9447311685,380821.0569218742
1,20.77431117933952,9660.942711432512,0.6625959817736222,20.77431117933952,31.35290848539604,302898.6527141974,76515.53836831363,379414.19108251104
6,18.180814444508986,6764.7276983433585,0.904165993962221,109.08488666705392,120.64696902503927,816143.8930848563,54784.24675888642,870928.1398437427
2,4.860125974541401,6480.2515848975145,0.9774792648746446,9.720251949082803,9.944202704217323,64440.93533454646,52828.093329850286,117269.02866439676
3,8.602200353856853,11390.43906872113,0.8588951960723172,25.80660106157056,30.04627477203598,342240.2620329287,58906.05576960745,401146.3178025361
5,3.2687732345909035,10190.04862495494,0.7696106078709729,16.343866172954517,21.236539629004966,216401.37144534313,55154.42141073445,271555.7928560776
2,21.544464128158978,9731.834391691604,0.916592599715473,43.088928256317956,47.00990196701734,457492.5807126701,48928.02605222248,506420.6067648926
2,5.420146594512386,12560.747437478136,0.5490059431072746,10.840293189024772,19.745311184922095,248015.86686821858,71987.82242358128,320003.68929179985
