market_growth_rate,price_elasticity,seasonal_factor,volume_uncertainty,price_change_pct,projected_volume,projected_price,projected_revenue,variable_costs,fixed_costs,projected_profit
0.0546246380598942,-1.3951305854348335,1.1,0.831707927203093,0.006871788490506101,4824.268194339587,50.343589424525305,242870.97724962825,142462.25417131413,48014.578909479744,52394.144168834384
0.043395611660215924,-1.2547838586331679,1.1,1.0960812718786779,0.056656815774021076,6290.055140056384,52.83284078870105,332321.4817667496,185256.10513922325,56542.75363171703,90522.6229958093
0.06806927217917957,-1.1377631451211458,0.8,0.9077913480985691,0.07024045528854128,3878.3361778167805,53.51202276442706,207537.6138354326,105123.42204164737,53854.127118320794,48560.06467546443
0.061309738107533644,-1.4890530661855983,0.9,1.062751162915667,0.1270051297702398,5075.586712743765,56.350256488511995,286010.6130927946,164205.23804223366,55026.82746727464,66778.5475832863
0.050111165122573104,-0.8274254473087718,1.0,1.065749772374748,-0.03457925899970138,5595.778675987819,48.27103705001493,270114.0397922915,165324.478663112,45556.484226641915,59233.07690253761
0.027349529089552013,-0.8541084294815552,1.1,1.1006092614609653,0.0002149011673810646,6218.907235604373,50.010745058369054,311012.18430145696,175753.10481404315,58765.886420998184,76493.19306641562
0.0761871061972361,-1.0351401931512287,1.1,1.1354771997163282,-0.0007933500682861844,6720.922569436111,49.96033249658569,335779.5262528352,178969.89536408824,48878.1512434684,107931.47964527854
0.06329078948217136,-1.3505987623880247,1.0,0.9700767565847713,-0.03371473908780872,5157.3684018366275,48.314263045609565,249174.45358944984,162521.9330568585,53354.913531355785,33297.60700123554
0.061342329224425673,-1.4034812861502102,1.1,0.9656878248037246,0.01396261592509564,5637.089509044698,50.69813079625478,285789.90123974375,178346.4025873321,57550.77497146049,49892.72368095117
0.08398430803382054,-0.8782882679277203,1.0,1.2015353062508318,0.03727505026520774,6512.227087622563,51.86375251326039,337748.53398260707,197517.59153769404,45471.256228386825,94759.6862165262
0.06390959900634532,-1.298570235967136,1.2,0.8684055207438559,0.11544174336685205,5543.429816096954,55.7720871683426,309168.6509149487,173154.440646447,45820.00171545046,90194.20855305126
0.04902909573868644,-1.236402431658336,1.1,1.0769200944729689,0.03150447625751499,6213.462820882897,51.57522381287575,320460.7356400177,184698.8584000417,55556.40242643356,80205.47481354246
0.03978693775990127,-1.223040709708897,0.9,0.9005727948198408,-0.053827727396500075,4213.817228500191,47.308613630174996,199349.85117129036,116284.28129257889,52622.97303728629,30442.596841425177
0.03900765737009445,-1.3507940306747563,1.0,1.007646232792727,-0.06672936380204157,5234.76075895886,46.663531809897925,244272.42519288216,170346.64032035097,52377.16448817376,21548.620384357433
0.05551415703909302,-0.9927972729206073,0.9,1.2657689026885697,-0.0408791507810645,6012.166483474306,47.956042460946776,288319.7111637749,190687.61860663528,49796.606967557076,47835.48558958253
0.06933343062851002,-1.097480730785176,1.0,0.8151568641822369,0.033720136716639676,4358.372430381849,51.68600683583199,225266.86722981793,123005.40351429347,46956.86290698951,55304.600808534946
0.0695588756265499,-0.8778761557224044,0.8,0.7848709126335072,0.003708023737386153,3357.8626033131122,50.185401186869306,168515.68187765393,106895.28548121073,43903.53768791358,17716.858708529624
0.02239060265672086,-1.3463926352354858,1.0,1.2115848064243089,-0.06448239958169956,6193.564602049379,46.775880020915025,289709.43472724804,199674.2109107055,53900.78785476737,36134.43596177517
0.06849151214713727,-1.2623479348539315,1.2,1.036168682595512,-0.04337320180965553,6642.8246550359145,47.831339909517226,317735.20403434435,200567.826285177,44908.709275920846,72258.66847324651
