labor_costs,material_costs,equipment_costs,overhead_costs,contingency_factor,total_cost,total_cost_with_contingency
125741.80863879994,55432.06349741496,30631.06540843996,33528.09518892233,0.01816317835887843,245333.0327335772,249789.0603644417
129646.944778075,38010.08495591231,21211.089642816572,13564.975753200126,0.01223456405967188,202433.09513000402,204909.7758001697
105462.11144659371,45596.82609376412,20739.066392891727,29570.283767510078,0.016906791717799338,201368.28770075963,204772.7793994863
103217.61092616295,52513.60598425603,20963.64745203517,31820.861351993124,0.009749511042148547,208515.72571444727,210548.6520847619
113182.15533965055,42032.80931883387,20717.33548988766,32532.20647345839,0.014519654570687998,208464.50662183046,211491.33924822835
89009.11896253336,39749.52654997141,22950.41717956004,25384.487122409333,0.023441215160154693,177093.54981447413,181244.83781915077
117131.03381587108,45862.200988977274,23772.004476820173,27830.38890405643,0.016464832379461083,214595.62818572496,218128.9092331681
122395.77240385748,33070.75592391122,21873.333676341797,21414.428278767653,0.004780240150635711,198754.29028287815,199704.38352139946
104076.65893469968,40406.54012993173,21724.974092686338,25125.7391828833,0.016081707840827807,191333.91234020106,194410.8884184987
95635.28669421686,38797.284128930594,26122.733438026073,24178.920868614954,0.00684149161960982,184734.22512978848,185998.08278286902
86351.82849242711,38208.928726303355,15550.230704152642,23891.406143801276,0.007671489823544538,164002.39406668438,165260.53676380392
114367.98627925795,37343.55357154075,31008.2508177854,30673.28304562503,0.015579249125479372,213393.0737142091,216717.57757125454
99405.94675064512,47439.66485126979,25744.19624456411,26074.747177492434,0.007502362446677059,198664.55502397148,200155.00852106913
106682.72348039981,54809.612461056364,25628.54112611197,33465.86146896347,0.006994311891141141,220586.7385365316,222129.5909849057
103656.1150290716,40787.045703306474,21831.439329318317,26239.87952888574,0.012161222384524158,192514.47959058214,194855.69098912415
95647.32291244889,33838.09745478307,31796.259450499256,35956.56291384588,0.008964656130634059,197238.24273157708,199006.41575347618
108518.56245996848,47013.35640758347,15179.786451328775,31136.05013228383,0.005393102260613564,201847.75545116456,202936.341037388
106509.51057521407,43354.357948043995,17765.52725743262,24565.997016837657,0.016081871186437835,192195.39279752833,195286.254347125
113730.40777792523,47123.15132912889,27333.142165304587,25872.986588837215,0.019939646139294154,214059.68786119594,218327.96228983597
98778.68452106541,45465.30008976256,26146.202190043863,20800.066877673577,0.019150950827425472,191190.25367854544,194851.72882542625
97334.7832924086,52467.509613553164,20215.097188324526,25801.033887182115,0.007774447376152597,195818.42398146837,197340.80401399342
124508.97626904036,36490.921184090534,23974.029024099764,20087.404688686634,0.014961055623507424,205061.33116591728,208129.26514772102
117714.9083534543,37123.80190473615,23151.618479953835,31651.8481847008,0.00951586919336658,209642.1769228451,211637.1044558555
121763.89865651548,40123.92227862555,23089.266321761606,23281.95899442474,0.006464020660502208,208259.04625132738,209605.23702903246
93137.9502380333,42530.97855054473,23984.93719110112,26778.24106683813,0.0083840917235307,186432.10704651725,187995.17093220635
