num_claims,avg_claim_amount,seasonal_adjustment,adjusted_claims,total_claims_amount,premium_income,net_result,loss_ratio
36,4484.035506046657,1.0,36,161425.27821767965,430888.9682182687,269463.69000058906,0.3746331192584837
50,15261.128558930486,1.3,65,991973.3563304816,544762.7658163628,-447210.5905141188,1.8209272339748557
46,4126.805870256592,1.0,46,189833.07003180325,478882.1022485894,289049.0322167862,0.3964087802414053
51,3374.5671882352426,0.9,45,151855.5234705859,443944.9117017618,292089.38823117595,0.3420593850000044
48,1949.153675056742,1.1,52,101355.99110295059,508593.66596222506,407237.67485927447,0.19928677426839728
57,3851.2586026261256,0.9,51,196414.18873393242,394563.4103939237,198149.22165999128,0.4978013256166776
47,7824.411526486902,0.7,32,250381.16884758088,614440.2358426951,364059.0669951142,0.4074947476448821
57,1012.4850308457003,1.1,62,62774.07191243342,453050.9357077829,390276.8637953495,0.1385585305421874
47,1101.0241289720936,0.7,32,35232.772127107,583320.692913049,548087.920785942,0.0604003467649293
69,1962.7741540775746,0.7,48,94213.15939572357,491799.2409124447,397586.08151672117,0.19156833024168168
48,1172.3342802847117,1.3,62,72684.72537765212,482562.22688220715,409877.501504555,0.15062249245503911
53,3201.508915129323,1.0,53,169679.97250185412,567919.5104350128,398239.53793315863,0.2987746844123797
50,1430.7444503441216,0.7,35,50076.055762044256,417188.11147883453,367112.05571679026,0.12003231727897595
53,1539.0010924043797,1.0,53,81567.05789743213,438196.4795913079,356629.4216938758,0.1861426590499019
53,2227.850898679483,0.9,47,104708.99223793572,484330.0241805964,379621.0319426607,0.21619347760875537
43,2844.8583057162127,1.0,43,122328.90714579714,546883.4466764062,424554.53953060904,0.2236836896220408
59,2013.525751517076,0.7,41,82554.55581220012,533339.1321398335,450784.5763276334,0.1547881091735747
45,1227.4612476272841,1.1,49,60145.60113373692,470464.1326814111,410318.5315476742,0.127843116946954
62,5929.0683276428845,1.0,62,367602.2363138588,522104.0008252366,154501.76451137778,0.7040785662106159
45,2990.5688373166995,1.0,45,134575.59767925148,424917.18163487944,290341.583955628,0.3167101814086889
45,2204.8529339618644,1.3,58,127881.47016978814,559481.1348786894,431599.6647089013,0.22857154995497084
58,1417.7983206806312,0.9,52,73725.51267539282,480537.25182304176,406811.7391476489,0.1534230954950862
